,ISIN CODE,NAME,TICKER SYMBOL,trade_count,n_distinct_traders,n_distinct_trade_types,ts_rows,reason_to_exclude
2710,NA,HENNESSY CAPITAL ACQUISITION UNITS CL B,GOEV,67,20,7,824.0,Missing ISIN
2648,NA,GLOBAL PARTNER ACQUISITION II CL B,GPAC,59,14,9,824.0,Missing ISIN
2508,NA,ENVIRONMENTAL IMPACT ACQUISITION CO CL B,GRNA,16,9,3,824.0,Missing ISIN
3514,NA,US GLOBAL INVRS.'C',GROW,312,7,4,824.0,Missing ISIN
2659,NA,GOOSEHEAD INSURANCE INC CL B,GSHD,1560,29,7,824.0,Missing ISIN
2642,NA,GITLABAINC CL B,GTLB,39,19,7,824.0,Missing ISIN
2651,NA,GLOBAL TECHS.'B',GTLL,1,1,1,824.0,Missing ISIN
2685,NA,GTY TECHNOLOGY HOLDINGS INC,GTYH,94,20,8,824.0,Missing ISIN
1945,NA,ACON S2 ACQUISITION CORP CL B,GWH,34,14,5,824.0,Missing ISIN
2698,NA,HBT FINANCIAL CL B,HBT,97,16,6,824.0,Missing ISIN
2694,NA,HASHICORPAINC CL B,HCP,72,13,7,824.0,Missing ISIN
2712,NA,HESS MIDSTREAM PARTNERS LP,HESM,62,14,6,824.0,Missing ISIN
1975,NA,ALDEL FINANCIAL INC CL B,HGTY,19,18,3,824.0,Missing ISIN
2094,NA,ATHENA TECHNOLOGY ACQUISITION CORP CL B,HLGN,42,13,4,824.0,Missing ISIN
2865,NA,LANDCADIA HOLDINGS III INC CL B,HLMN,39,22,6,824.0,Missing ISIN
2709,NA,HELIX ACQUISITION CORP CL B,HLXA,5,2,2,824.0,Missing ISIN
2693,NA,HANOVER DIRECT CLASS B,HNVD,11,4,2,824.0,Missing ISIN
2660,NA,GORDON POINTE CL B,HOFV,159,25,6,824.0,Missing ISIN
3221,NA,ROBINHOOD MARKETS CL B,HOOD,188,22,9,824.0,Missing ISIN
2729,NA,HOOKIPA PHARMA CL B,HOOK,47,15,4,824.0,Missing ISIN
3167,NA,PURE ACQUISITION CORP CL B,HPK,31,9,6,824.0,Missing ISIN
2723,NA,HIRSCH INTL.CORP.,HRSH,18,5,6,824.0,Missing ISIN
2708,NA,HEARST ARGYLE TV INCO.,HTV,652,23,6,824.0,Missing ISIN
1990,NA,ALPHA HEALTHCARE ACQUISITION CL B,HUMA,18,10,3,824.0,Missing ISIN
2738,NA,HYDRIL COMPANY,HYDL,242,19,9,824.0,Missing ISIN
2994,NA,MUDRICK CAPITAL ACQUISI TION CORP CL B,HYMC,64,14,5,824.0,Missing ISIN
2706,NA,HEALTHCOR CATALIO ACQUISITION CL B,HYPR,29,13,4,824.0,Missing ISIN
2385,NA,DECARBONIZATION PLUS ACQ CL B,HYZN,22,12,5,824.0,Missing ISIN
2772,NA,INTERACTIVECORP 'B',IAC,98,17,6,824.0,Missing ISIN
2782,NA,INTERVEST BANCSHARES 'B',IBCA,176,18,9,824.0,Missing ISIN
2762,NA,INSIGHT COMMS.'B',ICCI,31,9,4,824.0,Missing ISIN
2742,NA,ICONIC SPORTS ACQUISITION CORP CL B,ICNC,1,1,1,824.0,Missing ISIN
2744,NA,IDW MEDIA HOLDINGS INC CL B,IDW,9,7,3,824.0,Missing ISIN
2746,NA,IGM BIOSCIENCES INC CL B,IGMS,239,16,8,824.0,Missing ISIN
2759,NA,INGRAM MICRO INC,IM,915,47,8,824.0,Missing ISIN
1957,NA,AEA-BRIDGES IMPACT CORP CL B,IMPX,1,1,1,824.0,Missing ISIN
2748,NA,IMMUNEERING CORP CL B,IMRX,32,10,4,824.0,Missing ISIN
2754,NA,INFONET SVS.'A',IN,1,1,1,824.0,Missing ISIN
3440,NA,THUNDER BRIDGE ACQUI CL B,INDI,51,12,5,824.0,Missing ISIN
3429,NA,THERAVANCE,INVA,587,45,10,824.0,Missing ISIN
2761,NA,INNOV.INTL.ACQ.CORP CL B,IOAC,2,2,1,824.0,Missing ISIN
3100,NA,PAXSON COMMS.CORP.,ION,109,28,7,824.0,Missing ISIN
2423,NA,DMY TECHNOLOGY GROUP III CL B,IONQ,31,14,6,824.0,Missing ISIN
2753,NA,INFLECTION POINT ACQUISITION CL C,IPAX,1,1,1,824.0,Missing ISIN
2791,NA,IPIC ENTERAINMENT INC CL B,IPIC,7,7,3,824.0,Missing ISIN
2777,NA,INTERNET PICTURES 'B',IPIX,14,4,4,824.0,Missing ISIN
2793,NA,IPSCO TUBULARS DEAD - DELETE.14/02/18,IPSC,8,4,3,824.0,Missing ISIN
2773,NA,INTEREP NAT.RAD.SALES 'B ',IREP,20,6,2,824.0,Missing ISIN
2781,NA,INTERSIL 'B',ISIL,538,37,7,824.0,Missing ISIN
3427,NA,THAYER VENTURES ACQUISITION CORP CL B,ISPO,17,10,4,824.0,Missing ISIN
2797,NA,ITHAX ACQUISITION CORP CL B,ITHX,15,7,2,824.0,Missing ISIN
3610,NA,W-J INTL.,IZON,7,2,3,824.0,Missing ISIN
2818,NA,JUPITER ACQUISITION CL B,JAQC,4,2,1,824.0,Missing ISIN
3246,NA,SANFILIPPO JOHN B & SON 'A',JBSS,534,39,10,824.0,Missing ISIN
3052,NA,NUVEEN INVESTMENTS INC.,JNC,290,17,9,824.0,Missing ISIN
2814,NA,JOHNSON OUTDOORS 'B',JOUT,351,24,9,824.0,Missing ISIN
2813,NA,JOHN Q HAMMONS HTLS CLASS B,JQH,5,5,1,824.0,Missing ISIN
