,X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,delta_Own,Value,1d,1w,1m,6m,ticker
21,,2022-06-17 13:36:31,2022-06-15,JXN,Jackson Financial Inc.,Durant Gregory T,Dir,P - Purchase,29.1,3000,17375,+21%,87300.0,,,,,JXN+WI
22,M,2022-06-15 06:00:15,2021-12-11,JXN,Jackson Financial Inc.,Prudential Plc,10%,S - Sale,39.47,-6442516,12135443,-35%,-254313517.0,,,,,JXN+WI
23,,2022-06-13 17:40:11,2022-06-09,JXN,Jackson Financial Inc.,Kirkland Derek G,Dir,A - Grant,0.0,7850,27437,+40%,0.0,,,,,JXN+WI
24,,2022-06-13 16:32:04,2022-06-09,JXN,Jackson Financial Inc.,Durant Gregory T,Dir,A - Grant,0.0,4282,14179,+43%,0.0,,,,,JXN+WI
25,,2022-06-13 16:31:40,2022-06-09,JXN,Jackson Financial Inc.,Kandarian Steven A,Dir,A - Grant,0.0,9420,72515,+15%,0.0,,,,,JXN+WI
26,,2022-06-13 16:31:13,2022-06-09,JXN,Jackson Financial Inc.,Noles Russell G,Dir,A - Grant,0.0,4282,18262,+31%,0.0,,,,,JXN+WI
27,,2022-06-13 16:31:01,2022-06-09,JXN,Jackson Financial Inc.,Stecher Esta E,Dir,A - Grant,0.0,8564,22307,+62%,0.0,,,,,JXN+WI
28,,2022-06-13 16:30:43,2022-06-09,JXN,Jackson Financial Inc.,Lippert Martin J,Dir,A - Grant,0.0,7850,20952,+60%,0.0,,,,,JXN+WI
29,,2022-06-13 16:30:02,2022-06-09,JXN,Jackson Financial Inc.,Lawton Drew,Dir,A - Grant,0.0,4282,14179,+43%,0.0,,,,,JXN+WI
30,,2022-06-13 16:29:44,2022-06-09,JXN,Jackson Financial Inc.,Claffee Lily Fu,Dir,A - Grant,0.0,7850,20952,+60%,0.0,,,,,JXN+WI
31,,2022-06-09 11:30:54,2022-06-08,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,S - Sale,59.02,-2000,31633,-6%,-118040.0,,,,,JXN+WI
32,D,2022-06-02 17:09:00,2022-05-31,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,M - OptEx,19.69,11870,33633,+55%,233673.0,,,,,JXN+WI
33,,2022-05-27 14:12:03,2022-05-26,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,S - Sale,61.42,-5000,21763,-19%,-307075.0,,,,,JXN+WI
34,A,2022-05-26 14:12:49,2022-05-18,FRPH,"Frp Holdings, Inc.",Milton John D Jr,EVP,S - Sale,56.77,-1000,1996,-33%,-56770.0,,,,,JXN+WI
35,,2022-05-19 10:47:55,2022-05-18,FRPH,"Frp Holdings, Inc.",Milton John D Jr,EVP,P - Purchase,56.77,1000,3996,+33%,56770.0,,,,,JXN+WI
36,D,2022-05-17 19:05:09,2022-05-13,JXN,Jackson Financial Inc.,Prieskorn Laura Louene,"CEO, Pres, Dir",P - Purchase,30.71,4900,261514,+2%,150479.0,,,,,JXN+WI
37,D,2022-05-17 18:47:02,2022-04-19,JXN,Jackson Financial Inc.,Ganguly Devkumar Dilip,"EVP, COO",G - Gift,0.0,-13640,86530,-14%,-0.0,,,,,JXN+WI
38,D,2022-05-17 18:47:02,2022-05-13,JXN,Jackson Financial Inc.,Ganguly Devkumar Dilip,"EVP, COO",P - Purchase,30.6,10000,86530,+13%,306000.0,,,,,JXN+WI
39,DM,2022-05-17 18:43:27,2022-05-13,JXN,Jackson Financial Inc.,Myers Paul Chadwick,"Vice Chair, JHLLC",P - Purchase,32.46,13000,383491,+4%,421980.0,,,,,JXN+WI
40,,2022-05-17 18:40:17,2022-05-13,JXN,Jackson Financial Inc.,Chelko Carrie,"EVP, GC, Secretary",P - Purchase,29.91,3344,49599,+7%,100004.0,,,,,JXN+WI
41,,2022-05-17 13:29:37,2022-05-16,FRPH,"Frp Holdings, Inc.",Devilliers David H III,VP,S - Sale,56.69,-350,16739,-2%,-19842.0,,,,,JXN+WI
42,,2022-05-17 13:17:37,2022-05-16,FRPH,"Frp Holdings, Inc.",Thomas Nicole B.,Dir,A - Grant,57.86,1296,1296,New,74987.0,,,,,JXN+WI
43,,2022-05-17 13:12:18,2022-05-16,FRPH,"Frp Holdings, Inc.",Surface John S,Dir,A - Grant,57.86,1296,1296,New,74987.0,,,,,JXN+WI
44,,2022-05-17 12:23:09,2022-05-16,FRPH,"Frp Holdings, Inc.",Wetherbee Margaret B.,Dir,A - Grant,57.86,1728,482901,0%,99982.0,,,,,JXN+WI
45,,2022-05-17 12:12:15,2022-05-16,FRPH,"Frp Holdings, Inc.",Walton William H III,Dir,A - Grant,57.86,1728,19190,+10%,99982.0,,,,,JXN+WI
46,,2022-05-17 12:04:59,2022-05-16,FRPH,"Frp Holdings, Inc.",Stein Martin E Jr,Dir,A - Grant,57.86,1728,193547,+1%,99982.0,,,,,JXN+WI
47,,2022-05-17 11:52:26,2022-05-16,FRPH,"Frp Holdings, Inc.",Shad Harold William III,Dir,A - Grant,57.86,1728,34690,+5%,99982.0,,,,,JXN+WI
48,,2022-05-17 11:45:50,2022-05-16,FRPH,"Frp Holdings, Inc.",Commander Charles E III,Dir,A - Grant,57.86,1728,39190,+5%,99982.0,,,,,JXN+WI
49,M,2022-05-09 17:41:49,2022-05-05,JXN,Jackson Financial Inc.,Hagan Dan,10%,S - Sale,41.45,-500000,4500000,-10%,-20724448.0,,,,,JXN+WI
50,,2022-04-05 18:09:02,2022-04-02,JXN,Jackson Financial Inc.,Wadsten Marcia Lynn,"EVP, CFO",F - Tax,43.21,-9671,165546,-6%,-417896.0,,,,,JXN+WI
51,,2022-04-05 18:08:36,2022-04-02,JXN,Jackson Financial Inc.,Smith Craig Donald,"CEO, CIO, Pres PPM America",F - Tax,43.21,-15057,59112,-20%,-650621.0,,,,,JXN+WI
52,,2022-04-05 18:08:09,2022-04-02,JXN,Jackson Financial Inc.,Romine Scott,"Pres, CEO, JNLD",F - Tax,43.21,-9602,52887,-15%,-414921.0,,,,,JXN+WI
53,,2022-04-05 18:07:44,2022-04-02,JXN,Jackson Financial Inc.,Prieskorn Laura Louene,"CEO, Pres, Dir",F - Tax,43.21,-15374,270350,-5%,-664312.0,,,,,JXN+WI
54,,2022-04-05 18:07:35,2022-04-02,JXN,Jackson Financial Inc.,Nerud Mark D,"Pres, CEO of JNAM",F - Tax,43.21,-9891,37577,-21%,-427372.0,,,,,JXN+WI
55,,2022-04-05 18:07:05,2022-04-02,JXN,Jackson Financial Inc.,Myers Paul Chadwick,"Vice Chair, JHLLC",F - Tax,43.21,-55353,417931,-12%,-2391790.0,,,,,JXN+WI
56,,2022-04-05 18:06:45,2022-04-02,JXN,Jackson Financial Inc.,Harris Bradley Olan,"EVP, Chief Risk Officer",F - Tax,43.21,-11096,101564,-10%,-479466.0,,,,,JXN+WI
57,,2022-04-05 18:06:25,2022-04-02,JXN,Jackson Financial Inc.,Ganguly Devkumar Dilip,"EVP, COO",F - Tax,43.21,-10762,86609,-11%,-465007.0,,,,,JXN+WI
58,,2022-03-25 10:55:20,2022-03-23,JXN,Jackson Financial Inc.,Kandarian Steven A,Dir,A - Grant,44.62,768,63095,+1%,34280.0,,,,,JXN+WI
59,,2022-03-25 10:40:51,2022-03-23,JXN,Jackson Financial Inc.,Noles Russell G,Dir,A - Grant,44.62,152,57136,0%,6771.0,,,,,JXN+WI
60,,2022-03-25 10:40:20,2022-03-23,JXN,Jackson Financial Inc.,Kirkland Derek G,Dir,A - Grant,44.62,145,91740,0%,6465.0,,,,,JXN+WI
61,,2022-03-25 10:14:35,2022-03-23,JXN,Jackson Financial Inc.,Lawton Drew,Dir,A - Grant,44.62,121,25444,0%,5377.0,,,,,JXN+WI
62,,2022-03-25 10:14:11,2022-03-23,JXN,Jackson Financial Inc.,Claffee Lily Fu,Dir,A - Grant,44.62,160,13102,+1%,7118.0,,,,,JXN+WI
63,,2022-03-25 10:13:49,2022-03-23,JXN,Jackson Financial Inc.,Lippert Martin J,Dir,A - Grant,44.62,160,13102,+1%,7118.0,,,,,JXN+WI
64,,2022-03-25 10:13:27,2022-03-23,JXN,Jackson Financial Inc.,Stecher Esta E,Dir,A - Grant,44.62,167,13743,+1%,7466.0,,,,,JXN+WI
65,,2022-03-25 10:13:03,2022-03-23,JXN,Jackson Financial Inc.,Durant Gregory T,Dir,A - Grant,44.62,121,25444,0%,5377.0,,,,,JXN+WI
66,,2022-03-24 20:11:54,2022-03-23,JXN,Jackson Financial Inc.,Myers Paul Chadwick,"Vice Chair, JHLLC",A - Grant,44.62,5910,473419,+1%,263687.0,,,,,JXN+WI
67,,2022-03-24 20:11:34,2022-03-23,JXN,Jackson Financial Inc.,Chelko Carrie,"EVP, GC, Secretary",A - Grant,44.62,509,46255,+1%,22694.0,,,,,JXN+WI
68,,2022-03-24 20:11:19,2022-03-23,JXN,Jackson Financial Inc.,Ganguly Devkumar Dilip,"EVP, COO",A - Grant,44.62,1310,97396,+1%,58458.0,,,,,JXN+WI
69,,2022-03-24 20:11:00,2022-03-23,JXN,Jackson Financial Inc.,Smith Craig Donald,"CEO, CIO, Pres PPM America",A - Grant,44.62,1077,74205,+1%,48037.0,,,,,JXN+WI
70,,2022-03-24 20:10:43,2022-03-23,JXN,Jackson Financial Inc.,Prieskorn Laura Louene,"CEO, Pres, Dir",A - Grant,44.62,3649,285761,+1%,162809.0,,,,,JXN+WI
71,,2022-03-24 20:10:32,2022-03-23,JXN,Jackson Financial Inc.,Cummings Don W,"SVP, Controller, CAO",A - Grant,44.62,408,33520,+1%,18212.0,,,,,JXN+WI
72,,2022-03-24 20:10:09,2022-03-23,JXN,Jackson Financial Inc.,Harris Bradley Olan,"EVP, Chief Risk Officer",A - Grant,44.62,1571,112745,+1%,70088.0,,,,,JXN+WI
73,,2022-03-24 20:09:45,2022-03-23,JXN,Jackson Financial Inc.,Romine Scott,"Pres, CEO, JNLD",A - Grant,44.62,884,62515,+1%,39451.0,,,,,JXN+WI
74,,2022-03-24 20:09:28,2022-03-23,JXN,Jackson Financial Inc.,Wadsten Marcia Lynn,"EVP, CFO",A - Grant,44.62,2283,175283,+1%,101855.0,,,,,JXN+WI
75,,2022-03-24 20:08:55,2022-03-23,JXN,Jackson Financial Inc.,Nerud Mark D,"Pres, CEO of JNAM",A - Grant,44.62,659,47468,+1%,29390.0,,,,,JXN+WI
76,,2022-03-16 16:50:47,2022-03-15,FRPH,"Frp Holdings, Inc.",Devilliers David H Jr,Pres,S - Sale,56.93,-1500,26763,-5%,-85398.0,,,,,JXN+WI
